City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Chicama,PE,-7.8447,-79.1469,70.16,80,96,4.47,overcast clouds
239,Black River,JM,18.0264,-77.8487,75.2,84,0,6.11,clear sky
240,Playa Vicente,MX,17.8333,-95.8167,57.16,80,100,10.42,overcast clouds
241,Biak,ID,-0.9131,122.8766,83.44,71,99,2.39,overcast clouds
242,Grand Gaube,MU,-20.0064,57.6608,84.6,80,100,10.0,overcast clouds
243,Inirida,CO,3.8653,-67.9239,72.41,98,99,0.81,overcast clouds
244,Bonthe,SL,7.5264,-12.505,72.52,94,99,3.98,overcast clouds
245,Mount Gambier,AU,-37.8333,140.7667,71.98,53,66,14.88,broken clouds
246,Muroto,JP,33.2833,134.15,44.64,45,82,23.62,broken clouds
247,Patos,BR,-7.0244,-37.28,74.35,76,10,4.38,clear sky
248,Pangnirtung,CA,66.1451,-65.7125,-25.67,99,100,0.92,overcast clouds
249,Lamesa,US,32.7376,-101.951,21.07,42,0,3.98,clear sky
250,Caravelas,BR,-17.7125,-39.2481,75.78,83,100,5.55,overcast clouds
251,Yerbogachen,RU,61.2767,108.0108,5.9,94,100,6.49,overcast clouds
252,Sitka,US,57.0531,-135.33,42.69,81,100,6.91,light rain
253,Faya,SA,18.3851,42.4509,62.71,55,8,8.46,clear sky
254,Havelock,US,34.8791,-76.9013,59.02,93,100,4.0,overcast clouds
255,Kaitangata,NZ,-46.2817,169.8464,55.92,66,29,5.61,scattered clouds
256,Bara,NG,10.3744,10.7288,64.18,27,0,8.84,clear sky
257,Ryotsu,JP,38.0833,138.4333,31.96,72,62,24.23,light snow
258,Grand-Lahou,CI,5.1367,-5.0242,77.59,86,47,1.34,scattered clouds
259,Namtsy,RU,62.7161,129.6658,-18.29,99,100,2.42,overcast clouds
260,Hofn,IS,64.2539,-15.2082,26.89,64,100,12.1,overcast clouds
261,Bend,US,44.0582,-121.3153,37.99,80,0,1.01,clear sky
262,Quatre Cocos,MU,-20.2078,57.7625,84.31,83,100,18.54,light rain
263,Humaita,BR,-7.5061,-63.0208,72.41,98,100,2.44,overcast clouds
264,Bathsheba,BB,13.2167,-59.5167,72.21,73,40,9.22,scattered clouds
265,Saint-Pierre,RE,-21.3393,55.4781,89.28,55,100,6.91,overcast clouds
266,Bambous Virieux,MU,-20.3428,57.7575,84.45,79,75,20.71,light rain
267,Yambio,SS,4.5721,28.3955,78.39,21,100,8.66,overcast clouds
268,Ascension,US,30.2169,-90.9001,35.01,82,100,11.5,overcast clouds
269,Katangli,RU,51.7102,143.2326,5.16,93,100,21.16,light snow
270,Kruisfontein,ZA,-34.0033,24.7314,67.89,66,52,12.86,broken clouds
271,Ganzhou,CN,28.8184,115.4327,50.65,50,6,8.01,clear sky
272,Kodiak,US,57.79,-152.4072,42.31,70,100,10.36,overcast clouds
273,San Patricio,US,28.017,-97.5169,37.83,78,6,9.42,clear sky
274,Tocopilla,CL,-22.092,-70.1979,67.96,72,0,4.36,clear sky
275,Niquero,CU,20.0431,-77.5828,69.44,87,0,13.09,clear sky
276,Namibe,AO,-15.1961,12.1522,75.99,52,74,3.53,broken clouds
277,Najran,SA,17.4924,44.1277,79.45,33,0,2.17,clear sky
278,Lawrenceburg,US,38.0373,-84.8966,21.92,93,20,6.91,few clouds
279,Avera,US,33.194,-82.5271,44.11,75,87,13.91,overcast clouds
280,Chuy,UY,-33.6971,-53.4616,67.24,95,100,3.8,overcast clouds
281,Mahebourg,MU,-20.4081,57.7,84.49,79,75,20.71,broken clouds
282,Ola,RU,59.5833,151.2833,-3.93,75,0,12.48,clear sky
283,Sisimiut,GL,66.9395,-53.6735,3.63,91,100,15.05,light snow
284,Sovetskaya Gavan,RU,48.9723,140.2878,14.02,68,100,11.61,overcast clouds
285,Plainview,US,40.7765,-73.4673,27.86,80,100,1.99,snow
286,Alice Springs,AU,-23.7,133.8833,81.95,24,0,11.5,clear sky
287,Samarai,PG,-10.6167,150.6667,84.0,74,100,10.0,overcast clouds
288,Mount Isa,AU,-20.7333,139.5,92.97,17,5,8.05,clear sky
289,Anloga,GH,5.7947,0.8973,79.02,79,4,2.15,light rain
290,Takab,IR,36.4009,47.1133,29.82,88,89,9.44,overcast clouds
291,Armidale,AU,-30.5167,151.65,55.81,78,33,11.05,scattered clouds
292,Namatanai,PG,-3.6667,152.4333,81.64,75,73,7.74,broken clouds
293,Dzhankoy,UA,45.7167,34.4,31.57,52,52,3.0,broken clouds
294,Thompson,CA,55.7435,-97.8558,-32.64,68,0,0.0,clear sky
295,Caraquet,CA,47.7941,-64.9386,10.35,90,100,12.12,light snow
296,Cairns,AU,-16.9167,145.7667,82.06,80,75,14.97,broken clouds
297,Mpika,ZM,-11.8343,31.4529,65.32,84,100,9.24,overcast clouds
298,Narimanov,RU,46.6927,47.8498,31.91,75,100,17.9,overcast clouds
299,Edea,CM,3.8,10.1333,78.58,67,54,1.34,broken clouds
300,Kloulklubed,PW,7.0419,134.2556,84.7,80,10,19.3,clear sky
301,Los Llanos De Aridane,ES,28.6585,-17.9182,57.13,68,0,8.99,clear sky
302,Tsaratanana,MG,-16.7833,47.65,78.39,87,100,10.2,light rain
303,Carnarvon,AU,-24.8667,113.6333,92.59,48,52,15.86,broken clouds
304,Karasburg,NA,-28.0167,18.75,84.07,25,80,14.5,broken clouds
305,Cabedelo,BR,-6.9811,-34.8339,75.87,73,3,9.33,clear sky
306,Darnah,LY,32.767,22.6367,56.57,70,0,11.41,clear sky
307,Urucara,BR,-2.5364,-57.76,71.13,93,99,1.79,overcast clouds
308,Stokmarknes,NO,68.5646,14.9108,31.5,73,100,10.4,overcast clouds
309,Terrak,NO,65.087,12.3715,35.47,95,100,24.63,moderate rain
310,Maragogi,BR,-9.0122,-35.2225,77.41,73,34,5.86,scattered clouds
311,Veraval,IN,20.9,70.3667,74.17,46,7,7.2,clear sky
312,Alcaudete,ES,37.5909,-4.0824,50.95,66,100,0.81,light rain
313,Mizusawa,JP,39.1333,141.1333,28.72,84,64,9.42,light snow
314,Zabaykalsk,RU,49.6333,117.3167,4.01,84,100,12.17,overcast clouds
315,Soyo,AO,-6.1349,12.3689,78.85,80,20,4.63,few clouds
316,Itoman,JP,26.1247,127.6694,61.18,51,75,21.85,broken clouds
317,Cidreira,BR,-30.1811,-50.2056,72.23,94,19,5.48,few clouds
318,Yuci,CN,37.6803,112.7319,35.35,14,0,4.47,clear sky
319,Kavaratti,IN,10.5669,72.642,78.4,60,5,8.08,clear sky
320,La Tuque,CA,47.4334,-72.7824,-0.15,65,100,5.75,overcast clouds
321,Wolfville,CA,45.0835,-64.3655,26.33,94,100,4.61,light snow
322,Miles City,US,46.4083,-105.8406,40.17,48,100,11.5,overcast clouds
323,Viedma,AR,-40.8135,-62.9967,59.52,70,100,19.44,overcast clouds
324,Dikson,RU,73.5069,80.5464,-9.02,93,100,6.64,overcast clouds
325,Dolgoprudnyy,RU,55.9041,37.5606,16.79,92,100,6.71,fog
326,Celestun,MX,20.8667,-90.4,73.27,84,84,20.22,broken clouds
327,Nome,US,64.5011,-165.4064,-3.93,71,0,0.0,clear sky
328,Konza,KE,-1.7426,37.1294,73.04,34,99,6.11,overcast clouds
